path,label,y
dataset/Repaint/black/IMG_20251005_113747.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_115903.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_115627.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125341.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113723.jpg,Repaint,1
dataset/Repaint/black/tj.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_114025.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_124922.jpg,Repaint,1
dataset/Repaint/black/ln.jpg,Repaint,1
dataset/Repaint/black/fh.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113516.jpg,Repaint,1
dataset/Repaint/black/bhrs.jpg,Repaint,1
dataset/Repaint/black/jsdj.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113950.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_113431.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_114038.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_115942.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113458.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113947.jpg,Repaint,1
dataset/Repaint/black/brk.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113224.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125050.jpg,Repaint,1
dataset/Repaint/black/jdfj.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_120058.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113554.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125409_1.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125446.jpg,Repaint,1
dataset/Repaint/black/yg.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_120036.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125018.jpg,Repaint,1
dataset/Repaint/black/yd.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125248.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113525.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113725.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113719.jpg,Repaint,1
dataset/Repaint/black/kjh.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125046.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113740.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125027.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_120037.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_115706.jpg,Repaint,1
dataset/Repaint/black/gshj.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_115820.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125241.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_125045.jpg,Repaint,1
dataset/Repaint/black/h.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_115951.jpg,Repaint,1
dataset/Repaint/black/ng.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113858.jpg,Repaint,1
dataset/Repaint/black/nl.jpg,Repaint,1
dataset/Repaint/black/jg.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113851.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_124910.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113523.jpg,Repaint,1
dataset/Repaint/black/kljdnrsg.jpg,Repaint,1
dataset/Repaint/black/usu.jpg,Repaint,1
dataset/Repaint/black/hj.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_115704.jpg,Repaint,1
dataset/Repaint/black/IMG_20251025_124923.jpg,Repaint,1
dataset/Repaint/black/IMG_20251005_113530.jpg,Repaint,1
dataset/Repaint/black/bvis.jpg,Repaint,1
dataset/Repaint/black/xv.jpg,Repaint,1
